claim_number, claim_percent, claim_amount, remaining_supply
1838, 832177777911069393, 106018526720442113535, 12633870657363463371134
1839, 832094560133278287, 105125750474195824532, 12528744906889267546602
1840, 832011350677264960, 104240579722718437101, 12424504327166549109501
1841, 831928149542197234, 103362948938786894953, 12321141378227762214548
1842, 831844956727243015, 102492793166021162214, 12218648585061741052334
1843, 831761772231570291, 101630048013857224755, 12117018537047883827579
1844, 831678596054347134, 100774649652564832366, 12016243887395318995213
1845, 831595428194741700, 99926534808309578672, 11916317352587009416541
1846, 831512268651922226, 99085640758258920015, 11817231711828750496526
1847, 831429117425057034, 98251905325731739420, 11718979806503018757106
1848, 831345974513314529, 97425266875391062623, 11621554539627627694483
1849, 831262839915863198, 96605664308479539065, 11524948875319148155418
1850, 831179713631871612, 95793037058097303712, 11429155838261050851706
1851, 831096595660508425, 94987325084521838057, 11334168513176529013649
1852, 831013486000942375, 94188468870569453460, 11239980044305959560189
1853, 830930384652342281, 93396409416998022113, 11146583634888961538076
1854, 830847291613877047, 92611088237950586256, 11053972546651010951820
1855, 830764206884715660, 91832447356439476897, 10962140099294571474923
1856, 830681130464027189, 91060429299870578913, 10871079669994700896010
1857, 830598062350980787, 90294977095607382126, 10780784692899093513884
1858, 830515002544745689, 89536034266574460209, 10691248658632519053675
1859, 830431951044491215, 88783544826900024324, 10602465113805619029351
1860, 830348907849386766, 88037453277597199261, 10514427660528021830090
1861, 830265872958601828, 87297704602283676009, 10427129955925738154081
1862, 830182846371305968, 86564244262939394471, 10340565711662798759610
1863, 830099828086668838, 85837018195701916588, 10254728693467096843022
1864, 830016818103860172, 85115972806699149952, 10169612720660397693070
1865, 829933816422049786, 84401054967919087699, 10085211665692478605371
1866, 829850823040407582, 83692212013116232529, 10001519453679362372842
1867, 829767837958103542, 82989391733754374216, 9918530061945607998626
1868, 829684861174307732, 82292542374985396417, 9836237519570622602209
1869, 829601892688190302, 81601612631663788075, 9754635906938958814134
1870, 829518932498921483, 80916551644396539175, 9673719355294562274959
1871, 829435980605671591, 80237308995628104420, 9593482046298934170539
1872, 829353037007611024, 79563834705760118862, 9513918211593174051677
1873, 829270101703910263, 78896079229305554872, 9435022132363868496805
1874, 829187174693739872, 78233993451077011049, 9356788138912791485756
1875, 829104255976270499, 77577528682408827201, 9279210610230382658555
1876, 829021345550672872, 76926636657412721480, 9202283973572969937075
1877, 828938443416117805, 76281269529266650545, 9126002704043703286530
1878, 828855549571776194, 75641379866536593001, 9050361324177166693529
1879, 828772664016819017, 75006920649530962295, 8975354403527635731234
1880, 828689786750417336, 74377845266687356403, 8900976558260948374831
1881, 828606917771742295, 73754107510991353911, 8827222450749957020920
1882, 828524057079965121, 73135661576427069949, 8754086789173529950971
1883, 828441204674257125, 72522462054459187079, 8681564327119070763892
1884, 828358360553789700, 71914463930546178869, 8609649863188524585023
1885, 828275524717734322, 71311622580684447186, 8538338240607840137837
1886, 828192697165262549, 70713893767983095849, 8467624346839857041988
1887, 828109877895546023, 70121233639269066618, 8397503113200587975370
1888, 828027066907756469, 69533598721722365051, 8327969514478865610319
1889, 827944264201065694, 68950945919541107013, 8259018568559324503306
1890, 827861469774645588, 68373232510636118922, 8190645336048688384384
1891, 827778683627668124, 67800416143354826871, 8122844919905333557513
1892, 827695905759305358, 67232454833234172430, 8055612465072099385083
1893, 827613136168729428, 66669306959782295216, 7988943158112317089867
1894, 827530374855112556, 66110931263288724990, 7922832226849028364877
1895, 827447621817627045, 65557286841662827483, 7857274940007365537394
1896, 827364877055445283, 65008333147300251995, 7792266606860065285399
1897, 827282140567739739, 64464029983977128994, 7727802576876088156405
1898, 827199412353682966, 63924337503771770558, 7663878239372316385847
1899, 827116692412447598, 63389216204013626566, 7600489023168302759281
1900, 827033980743206354, 62858626924259253763, 7537630396244043505518
1901, 826951277345132034, 62332530843295054907, 7475297865400748450611
1902, 826868582217397521, 61810889476166549577, 7413486975924581901034
1903, 826785895359175782, 61293664671233938814, 7352193311253347962220
1904, 826703216769639865, 60780818607253728186, 7291412492646094234034
1905, 826620546447962902, 60272313790486177003, 7231140178855608057031
1906, 826537884393318106, 59768113051828341843, 7171372065803779715188
1907, 826455230604878775, 59268179543972486496, 7112103886259807228692
1908, 826372585081818288, 58772476738589630452, 7053331409521217598240
1909, 826289947823310107, 58280968423538012221, 6995050441097679586019
1910, 826207318828527776, 57793618700096244117, 6937256822397583341902
1911, 826124698096644924, 57310391980220938326, 6879946430417362403576
1912, 826042085626835260, 56831252983828584695, 6823115177433533818881
1913, 825959481418272577, 56356166736101464734, 6766759010697432354147
1914, 825876885470130750, 55885098564817385989, 6710873912132614968158
1915, 825794297781583737, 55418014097703024591, 6655455898034911943567
1916, 825711718351805579, 54954879259810664806, 6600501018775101278761
1917, 825629147179970399, 54495660270918126555, 6546005358504183152206
1918, 825546584265252402, 54040323642951673958, 6491965034861231478248
1919, 825464029606825877, 53588836177431699676, 6438376198683799778572
1920, 825381483203865195, 53141164962940981285, 6385235033720858797287
1921, 825298945055544809, 52697277372615308502, 6332537756348243488785
1922, 825216415161039255, 52257141061656281459, 6280280615286587207326
1923, 825133893519523152, 51820723964866081937, 6228459891321721125389
1924, 825051380130171200, 51387994294204021366, 6177071897027517104023
1925, 824968874992158183, 50958920536364671619, 6126112976491152432404
1926, 824886378104658968, 50533471450377385409, 6075579505040775046995
1927, 824803889466848503, 50111616065227015591, 6025467888975548031404
1928, 824721409077901819, 49693323677495644478, 5975774565298052386926
1929, 824638936936994029, 49278563849025135295, 5926496001449027251631
1930, 824556473043300330, 48867306404600320324, 5877628695044426931307
1931, 824474017395996000, 48459521429652641182, 5829169173614774290125
1932, 824391569994256401, 48055179267984059419, 5781113994346790230706
1933, 824309130837256976, 47654250519511055941, 5733459743827279174765
1934, 824226699924173251, 47256706038028540712, 5686203037789250634053
1935, 824144277254180834, 46862516928993494726, 5639340520860257139327
1936, 824061862826455416, 46471654547328168561, 5592868866312928970766
1937, 823979456640172771, 46084090495242662990, 5546784775817686307776
1938, 823897058694508754, 45699796620076718767, 5501084979197609589009
1939, 823814668988639304, 45318745012160544750, 5455766234185449044259
1940, 823732287521740441, 44940908002694514043, 5410825326182754530216
1941, 823649914292988267, 44566258161647560524, 5366259068021106969692
1942, 823567549301558969, 44194768295674108992, 5322064299725432860700
1943, 823485192546628814, 43826411446049373227, 5278237888279383487473
1944, 823402844027374152, 43461160886622859163, 5234776727392760628310
1945, 823320503742971415, 43098990121789910314, 5191677737270970717996
1946, 823238171692597118, 42739872884481135036, 5148937864386489582960
1947, 823155847875427859, 42383783134169556187, 5106554081252320026773
1948, 823073532290640317, 42030695054895325245, 5064523386197424701528
1949, 822991224937411253, 41680583053307844740, 5022842803144116856788
1950, 822908925814917512, 41333421756725143829, 4981509381387391712959
1951, 822826634922336021, 40989186011210353146, 4940520195376181359813
1952, 822744352258843788, 40647850879665126911, 4899872344496516232902
1953, 822662077823617904, 40309391639939861536, 4859562952856576371366
1954, 822579811615835543, 39973783782960560914, 4819589169073615810452
1955, 822497553634673960, 39641003010872200244, 4779948166062743610208
1956, 822415303879310493, 39311025235198441816, 4740637140827545168392
1957, 822333062348922562, 38983826575017556889, 4701653314252527611503
1958, 822250829042687670, 38659383355154409690, 4662993930897373201813
1959, 822168603959783402, 38337672104388360402, 4624656258792984841411
1960, 822086387099387424, 38018669553676945616, 4586637589239307895795
1961, 822004178460677486, 37702352634395196059, 4548935236604912699736
1962, 821921978042831419, 37388698476590452018, 4511546538128322247718
1963, 821839785845027136, 37077684407252539085, 4474468853721069708633
1964, 821757601866442634, 36769287948599167462, 4437699565772470541171
1965, 821675426106255990, 36463486816376419116, 4401236078956094122055
1966, 821593258563645365, 36160258918174189248, 4365075820037919932807
1967, 821511099237789001, 35859582351756448442, 4329216237686163484365
1968, 821428948127865223, 35561435403406194247, 4293654802282757290118
1969, 821346805233052437, 35265796546284961221, 4258389005736472328897
1970, 821264670552529132, 34972644438806760352, 4223416361297665568545
1971, 821182544085473880, 34681957923026319360, 4188734403374639249185
1972, 821100425831065333, 34393716023041496735, 4154340687351597752450
1973, 821018315788482227, 34107897943409743961, 4120232789408188008489
1974, 820936213956903379, 33824483067578490533, 4086408306340609517956
1975, 820854120335507689, 33543450956329328532, 4052864855384280189424
1976, 820772034923474139, 33264781346235873855, 4019600074038044315569
1977, 820689957719981792, 32988454148135182701, 3986611619889909132868
1978, 820607888724209794, 32714449445612603060, 3953897170444296529808
1979, 820525827935337374, 32442747493499941640, 3921454422950796588168
1980, 820443775352543841, 32173328716386827966, 3889281094234409760202
1981, 820361730975008587, 31906173707145158805, 3857374920527264601397
1982, 820279694801911087, 31641263225466506413, 3825733657301798094984
1983, 820197666832430896, 31378578196412375513, 3794355079105385719471
1984, 820115647065747653, 31118099708977195316, 3763236979396408524155
1985, 820033635501041079, 30859809014663933046, 3732377170381744591109
1986, 819951632137490975, 30603687526072217167, 3701773482855672373942
1987, 819869636974277226, 30349716815498859499, 3671423766040173514443
1988, 819787650010579799, 30097878613550665764, 3641325887426622848679
1989, 819705671245578742, 29848154807769425760, 3611477732618853422919
1990, 819623700678454185, 29600527441268975139, 3581877205177584447780
1991, 819541738308386340, 29354978711384221586, 3552522226466200226194
1992, 819459784134555502, 29111490968332029322, 3523410735497868196872
1993, 819377838156142047, 28870046713883856614, 3494540688783984340258
1994, 819295900372326433, 28630628600050042252, 3465910060183934298006
1995, 819213970782289201, 28393219427775637582, 3437516840756158660424
1996, 819132049385210973, 28157802145647681598, 3409359038610510978826
1997, 819050136180272452, 27924359848613817818, 3381434678761897161008
1998, 818968231166654425, 27692875776712152402, 3353741802985185008606
1999, 818886334343537760, 27463333313812253546, 3326278469671372755060
2000, 818804445710103407, 27235715986367193750, 3299042753685005561310
2001, 818722565265532397, 27010007462176536853, 3272032746222829024457
2002, 818640693009005844, 26786191549160173014, 3245246554673668851443
2003, 818558828939704944, 26564252194142905294, 3218682302479525946149
2004, 818476973056810974, 26344173481649692674, 3192338128997876253475
2005, 818395125359505293, 26125939632711455156, 3166212189365164798319
2006, 818313285846969343, 25909535003681347285, 3140302654361483451034
2007, 818231454518384647, 25694944085061407286, 3114607710276422043748
2008, 818149631372932809, 25482151500339490054, 3089125558776082553694
2009, 818067816409795516, 25271142004836392900, 3063854416771246160794
2010, 817986009628154537, 25061900484563083656, 3038792516286683077138
2011, 817904211027191722, 24854411955087941733, 3013938104331595135405
2012, 817822420606089003, 24648661560413923568, 2989289442771181211837
2013, 817740638364028395, 24444634571865564502, 2964844808199315647335
2014, 817658864300191993, 24242316386985729896, 2940602491812329917439
2015, 817577098413761974, 24041692528442029462, 2916560799283887887977
2016, 817495340703920598, 23842748642942809074, 2892718050640945078903
2017, 817413591169850206, 23645470500162635253, 2869072580140782443650
2018, 817331849810733221, 23449843991677188491, 2845622736149105255159
2019, 817250116625752148, 23255855129907482026, 2822366881019197773133
2020, 817168391614089573, 23063490047073323571, 2799303390972124449562
2021, 817086674774928165, 22872734994155938332, 2776430655977968511230
2022, 817004966107450673, 22683576339869672027, 2753747079638098839203
2023, 816923265610839928, 22496000569642693899, 2731251079068456145304
2024, 816841573284278845, 22309994284606619945, 2708941084783849525359
2025, 816759889126950418, 22125544200594977303, 2686815540583254548056
2026, 816678213138037723, 21942637147150432013, 2664872903436104116043
2027, 816596545316723920, 21761260066540702416, 2643111643369563413627
2028, 816514885662192248, 21581400012783081240, 2621530243356780332387
2029, 816433234173626029, 21403044150677490686, 2600127199206102841701
2030, 816351590850208667, 21226179754847994725, 2578901019451254846976
2031, 816269955691123647, 21050794208792693964, 2557850225242462153012
2032, 816188328695554535, 20876875003941929032, 2536973350238520223980
2033, 816106709862684980, 20704409738724719089, 2516268940499795504891
2034, 816025099191698712, 20533386117643362512, 2495735554382152142379
2035, 815943496681779543, 20363791950356127847, 2475371762431796014532
2036, 815861902332111366, 20195615150767963390, 2455176147281028051142
2037, 815780316141878155, 20028843736129154663, 2435147303544898896479
2038, 815698738110263968, 19863465826141859605, 2415283837718757036874
2039, 815617168236452942, 19699469642074451640, 2395584368076682585234
2040, 815535606519629297, 19536843505883602077, 2376047524570798983157
2041, 815454052958977335, 19375575839344033146, 2356671948731454950011
2042, 815372507553681438, 19215655163185874058, 2337456293568269075953
2043, 815290970302926070, 19057070096239553049, 2318399223472029522904
2044, 815209441205895778, 18899809354588158783, 2299499414117441364121
2045, 815127920261775189, 18743861750727205085, 2280755552366714159036
2046, 815046407469749012, 18589216192731733890, 2262166336173982425146
2047, 814964902829002038, 18435861683430691450, 2243730474490551733696
2048, 814883406338719138, 18283787319588513637, 2225446687170963220059
2049, 814801917998085267, 18132982291093856893, 2207313704879869363166
2050, 814720437806285459, 17983435880155411437, 2189330268999713951729
2051, 814638965762504831, 17835137460504734656, 2171495131539209217073
2052, 814557501865928581, 17688076496606042412, 2153807055042603174661
2053, 814476046115741989, 17542242542872897077, 2136264812499730277584
2054, 814394598511130415, 17397625242891731346, 2118867187256838546238
2055, 814313159051279302, 17254214328652147713, 2101612972928186398525
2056, 814231727735374175, 17111999619783933643, 2084500973308402464882
2057, 814150304562600638, 16970971022800733300, 2067530002285601731582
2058, 814068889532144378, 16831118530350317293, 2050698883755251414289
2059, 813987482643191164, 16692432220471392050, 2034006451534780022239
2060, 813906083894926845, 16554902255856891225, 2017451549278923131014
2061, 813824693286537353, 16418518883123692152, 2001033030395799438862
2062, 813743310817208700, 16283272432088700469, 1984749757963710738393
2063, 813661936486126980, 16149153315051247030, 1968600604648659491363
2064, 813580570292478368, 16016152026081741308, 1952584452622577750055
2065, 813499212235449121, 15884259140316526261, 1936700193482261223794
2066, 813417862314225577, 15753465313258879953, 1920946728169002343841
2067, 813336520527994155, 15623761280086109827, 1905322966888916234014
2068, 813255186875941356, 15495137854962685964, 1889827829033953548050
2069, 813173861357253762, 15367585930359360082, 1874460243103594187968
2070, 813092543971118037, 15241096476378217624, 1859219146627215970344
2071, 813011234716720926, 15115660540083610624, 1844103486087132359720
2072, 812929933593249254, 14991269244838919587, 1829112216842293440133
2073, 812848640599889930, 14867913789649093170, 1814244303052644346963
2074, 812767355735829942, 14745585448508914519, 1799498717604135432444
2075, 812686079000256360, 14624275569756944182, 1784874442034378488262
2076, 812604810392356335, 14503975575435089394, 1770370466458943398868
2077, 812523549911317100, 14384676960653750326, 1755985789498289648542
2078, 812442297556325969, 14266371292962494155, 1741719418205327154387
2079, 812361053326570337, 14149050211726208347, 1727570367993600946040
2080, 812279817221237680, 14032705427506684938, 1713537662566094261102
2081, 812198589239515557, 13917328721449588057, 1699620333844644673045
2082, 812117369380591606, 13802911944676757190, 1685817421899967915855
2083, 812036157643653547, 13689447017683799480, 1672127974882284116375
2084, 811954954027889182, 13576925929742924365, 1658551048952541192010
2085, 811873758532486394, 13465340738310974485, 1645085708214230217525
2086, 811792571156633146, 13354683568442607169, 1631731024645787610356
2087, 811711391899517483, 13244946612208581277, 1618486078033579029079
2088, 811630220760327532, 13136122128119104400, 1605349955905459924679
2089, 811549057738251500, 13028202440552195959, 1592321753464907728720
2090, 811467902832477675, 12921179939187022164, 1579400573525720706556
2091, 811386756042194428, 12815047078442159104, 1566585526447278547452
2092, 811305617366590209, 12709796376918740554, 1553875730070359806898
2093, 811224486804853550, 12605420416848447757, 1541270309653511359141
2094, 811143364356173065, 12501911843546298484, 1528768397809965060657
2095, 811062250019737448, 12399263364868193212, 1516369134445096867445
2096, 810981143794735475, 12297467750673176726, 1504071666694423690719
2097, 810900045680356002, 12196517832290373579, 1491875148862133317140
2098, 810818955675787967, 12096406501990556491, 1479778742360142760649
2099, 810737873780220389, 11997126712462306877, 1467781615647680453772
2100, 810656799992842367, 11898671476292727219, 1455882944171387726553
2101, 810575734312843083, 11801033865452665369, 1444081910305935061184
2102, 810494676739411799, 11704207010786411014, 1432377703295148650170
2103, 810413627271737858, 11608184101505825180, 1420769519193642824990
2104, 810332585909010685, 11512958384688863798, 1409256560808953961192
2105, 810251552650419784, 11418523164782456704, 1397838037644171504488
2106, 810170527495154743, 11324871803109704005, 1386513165841061800483
2107, 810089510442405228, 11231997717381351650, 1375281168123680448833
2108, 810008501491360988, 11139894381211508965, 1364141273742468939868
2109, 809927500641211852, 11048555323637570648, 1353092718418831369220
2110, 809846507891147731, 10957974128644306532, 1342134744290187062688
2111, 809765523240358617, 10868144434692082415, 1331266599855494980273
2112, 809684546688034582, 10779059934249175772, 1320487539921245804501
2113, 809603578233365779, 10690714373328150449, 1309796825547917654052
2114, 809522617875542443, 10603101551026254706, 1299193723996891399346
2115, 809441665613754889, 10516215319069807289, 1288677508677821592057
2116, 809360721447193514, 10430049581362536639, 1278247459096459055418
2117, 809279785375048795, 10344598293537838478, 1267902860802921216940
2118, 809198857396511291, 10259855462514917512, 1257643005340406299428
2119, 809117937510771640, 10175815146058779081, 1247467190194347520347
2120, 809037025717020563, 10092471452344037167, 1237374718742003483180
2121, 808956122014448861, 10009818539522505115, 1227364900202480978065
2122, 808875226402247417, 9927850615294536077, 1217437049587186441988
2123, 808794338879607193, 9846561936484080174, 1207590487650702361814
2124, 808713459445719233, 9765946808617425967, 1197824540842084935847
2125, 808632588099774662, 9685999585505593796, 1188138541256579342051
2126, 808551724840964685, 9606714668830349074, 1178531826587748992977
2127, 808470869668480589, 9528086507733803826, 1169003740080015189151
2128, 808390022581513741, 9450109598411574986, 1159553630481603614165
2129, 808309183579255590, 9372778483709468362, 1150180851997894145803
2130, 808228352660897665, 9296087752723657323, 1140884764245170488480
2131, 808147529825631576, 9220032040404325663, 1131664732204766162817
2132, 808066715072649013, 9144606027162744263, 1122520126177603418554
2133, 807985908401141749, 9069804438481751541, 1113450321739121667013
2134, 807905109810301635, 8995622044529607761, 1104454699694592059252
2135, 807824319299320605, 8922053659777193871, 1095532646034814865381
2136, 807743536867390673, 8849094142618525376, 1086683551892196340005
2137, 807662762513703934, 8776738394994552378, 1077906813497201787627
2138, 807581996237452564, 8704981362020216966, 1069201832135181570661
2139, 807501238037828819, 8633818031614739442, 1060568014103566831219
2140, 807420487914025037, 8563243434135105176, 1052004770669431726043
2141, 807339745865233635, 8493252642012724007, 1043511518027419002036
2142, 807259011890647112, 8423840769393234543, 1035087677258025767493
2143, 807178285989458048, 8355002971779425741, 1026732674286246341752
2144, 807097568160859103, 8286734445677248552, 1018445939840569093200
2145, 807016858404043018, 8219030428244890617, 1010226909412324202583
2146, 806936156718202614, 8151886196944887181, 1002075023215379315402
2147, 806855463102530794, 8085297069199241740, 993989726146180073662
2148, 806774777556220541, 8019258402047530015, 985970467744132543647
2149, 806694100078464919, 7953765591807961254, 978016702152324582393
2150, 806613430668457073, 7888814073741370959, 970127888078583211434
2151, 806532769325390228, 7824399321718119418, 962303488756865092016
2152, 806452116048457689, 7760516847887870661, 954542971908977221355
2153, 806371470836852844, 7697162202352226689, 946845809706624994666
2154, 806290833689769159, 7634330972840191904, 939211478733784802762
2155, 806210204606400183, 7572018784386443201, 931639459949398359561
2156, 806129583585939543, 7510221299012381000, 924129238650385978561
2157, 806048970627580950, 7448934215409937136, 916680304434976041425
2158, 805968365730518192, 7388153268628115275, 909292151166347926150
2159, 805887768893945141, 7327874229762240272, 901964276936585685878
2160, 805807180117055747, 7268092905645892525, 894696184030939793353
2161, 805726599399044042, 7208805138545504121, 887487378892394289232
2162, 805646026739104138, 7150006805857593349, 880337372086536695883
2163, 805565462136430228, 7091693819808614657, 873245678266728081226
2164, 805484905590216585, 7033862127157401152, 866211816139570680074
2165, 805404357099657564, 6976507708900177053, 859235308430670503021
2166, 805323816663947599, 6919626579978117609, 852315681850692385412
2167, 805243284282281205, 6863214788987434318, 845452467061704951094
2168, 805162759953852977, 6807268417891963342, 838645198643812987752
2169, 805082243677857592, 6751783581738235331, 831893415062074752421
2170, 805001735453489807, 6696756428373004926, 825196658633701747495
2171, 804921235279944459, 6642183138163218553, 818554475495538528942
2172, 804840743156416465, 6588059923718399202, 811966415571820129740
2173, 804760259082100824, 6534383029615427124, 805432032542204702616
2174, 804679783056192614, 6481148732125695497, 798950883810079007119
2175, 804599315077886995, 6428353338944620427, 792522530471134386692
2176, 804518855146379207, 6375993188923484668, 786146537282210902024
2177, 804438403260864570, 6324064651803594767, 779822472630407307257
2178, 804357959420538484, 6272564127952731434, 773549908502454575823
2179, 804277523624596431, 6221488048103873177, 767328420454350702646
2180, 804197095872233972, 6170832873096173311, 761157587581254529335
2181, 804116676162646749, 6120595093618170791, 755036992487636358544
2182, 804036264495030485, 6070771229953215324, 748966221257683143220
2183, 803955860868580982, 6021357831727087489, 742944863425956055731
2184, 803875465282494124, 5972351477657794757, 736972511948298260974
2185, 803795077735965875, 5923748775307524403, 731048763172990736571
2186, 803714698228192279, 5875546360836734549, 725173216812154002022
2187, 803634326758369460, 5827740898760364708, 719345475913393637314
2188, 803553963325693624, 5780329081706147370, 713565146831687489944
2189, 803473607929361055, 5733307630175002271, 707831839201512487673
2190, 803393260568568119, 5686673292303495317, 702145165909208992356
2191, 803312921242511263, 5640422843628344074, 696504743065580648282
2192, 803232589950387012, 5594553086852952025, 690910189978727696257
2193, 803152266691391974, 5549060851615954011, 685361129127111742246
2194, 803071951464722835, 5503942994261755207, 679857186132849987039
2195, 802991644269576363, 5459196397613046410, 674397989735236940629
2196, 802911345105149406, 5414817970745278339, 668983171764491662290
2197, 802831053970638892, 5370804648763077938, 663612367115728584352
2198, 802750770865241829, 5327153392578589784, 658285213723149994568
2199, 802670495788155305, 5283861188691725824, 653001352534458268744
2200, 802590228738576490, 5240925048972306866, 647760427485485961878
2201, 802509969715702633, 5198342010444079307, 642562085475041882571
2202, 802429718718731063, 5156109135070590846, 637405976339971291725
2203, 802349475746859190, 5114223509542908986, 632291752830428382739
2204, 802269240799284505, 5072682245069166281, 627219070585359216458
2205, 802189013875204577, 5031482477165916434, 622187588108193300024
2206, 802108794973817057, 4990621365451285553, 617196966742742014471
2207, 802028584094319676, 4950096093439902880, 612246870649302111591
2208, 801948381235910245, 4909903868339595564, 607336966780962516027
2209, 801868186397786654, 4870041920849832119, 602466924860112683908
2210, 801787999579146876, 4830507504961899411, 597636417355150784497
2211, 801707820779188962, 4791297897760798009, 592845119457389986488
2212, 801627649997111044, 4752410399228841065, 588092709058161145423
2213, 801547487232111333, 4713842332050941855, 583378866726110203568
2214, 801467332483388122, 4675591041421575343, 578703275684688628225
2215, 801387185750139784, 4637653894853399175, 574065621789835229050
2216, 801307047031564771, 4600028281987519718, 569465593507847709332
2217, 801226916326861615, 4562711614405388855, 564902881893442320477
2218, 801146793635228929, 4525701325442317354, 560377180568000003123
2219, 801066678955865407, 4488994870002590773, 555888185697997412350
2220, 800986572287969821, 4452589724376173959, 551435595973621238391
2221, 800906473630741025, 4416483386056990401, 547019112587564247990
2222, 800826382983377951, 4380673373562762690, 542638439214001485300
2223, 800746300345079614, 4345157226256400606, 538293281987745084694
2224, 800666225715045107, 4309932504168923306, 533983349483576161388
2225, 800586159092473603, 4274996787823902368, 529708352695752259020
2226, 800506100476564356, 4240347678063412474, 525468005017688846546
2227, 800426049866516700, 4205982795875476602, 521262022221813369944
2228, 800346007261530049, 4171899782222992811, 517090122439590377133
2229, 800265972660803896, 4138096297874129719, 512952026141716247414
2230, 800185946063537816, 4104570023234177969, 508847456118482069445
2231, 800105927468931463, 4071318658178845000, 504776137460303224445
2232, 800025916876184570, 4038339921888980637, 500737797538414243808
2233, 799945914284496952, 4005631552686721095, 496732165985727522713
2234, 799865919693068503, 3973191307873039045, 492758974677854483668
2235, 799785933101099197, 3941016963566687593, 488817957714287796075
2236, 799705954507789088, 3909106314544526063, 484908851399743270012
2237, 799625983912338310, 3877457174083215602, 481031394225660054410
2238, 799546021313947077, 3846067373802272727, 477185326851857781683
2239, 799466066711815683, 3814934763508469048, 473370392088349312635
2240, 799386120105144502, 3784057211041565483, 469586334877307747152
2241, 799306181493133988, 3753432602121369409, 465832902275186377743
2242, 799226250874984675, 3723058840196103273, 462109843434990274470
2243, 799146328249897177, 3692933846292073298, 458416909588698201172
2244, 799066413617072188, 3663055558864627023, 454753854029833574149
2245, 798986506975710481, 3633421933650388488, 451120432096183185661
2246, 798906608325012910, 3604030943520760029, 447516401152662425632
2247, 798826717664180409, 3574880578336679676, 443941520574325745956
2248, 798746834992413991, 3545968844804623274, 440395551729521122682
2249, 798666960308914750, 3517293766333840590, 436878257963187282092
2250, 798587093612883859, 3488853382894814652, 433389404580292467440
2251, 798507234903522571, 3460645750878933781, 429928758829413533659
2252, 798427384180032219, 3432668942959365783, 426496089886454167876
2253, 798347541441614216, 3404921047953123904, 423091168838501043972
2254, 798267706687470055, 3377400170684314219, 419713768667816729753
2255, 798187879916801308, 3350104431848554231, 416363664235968175522
2256, 798108061128809628, 3323031967878552557, 413040632268089622965
2257, 798028250322696748, 3296180930810839614, 409744451337278783351
2258, 797948447497664479, 3269549488153639372, 406474901849125143979
2259, 797868652652914713, 3243135822755872298, 403231766026369271681
2260, 797788865787649422, 3216938132677279687, 400014827893691991994
2261, 797709086901070658, 3190954631059659682, 396823873262632332312
2262, 797629315992380551, 3165183545999205363, 393658689716633126949
2263, 797549553060781313, 3139623120419935390, 390519066596213191559
2264, 797469798105475235, 3114271611948207717, 387404794984264983842
2265, 797390051125664688, 3089127292788307023, 384315667691476676819
2266, 797310312120552122, 3064188449599096581, 381251479241877580238
2267, 797230581089340067, 3039453383371725355, 378212025858505854883
2268, 797150858031231133, 3014920409308381188, 375197105449197473695
2269, 797071142945428010, 2990587856702081061, 372206517592495392634
2270, 796991435831133468, 2966454068817489419, 369240063523677903215
2271, 796911736687550355, 2942517402772755717, 366297546120905147498
2272, 796832045513881600, 2918776229422362350, 363378769891482785148
2273, 796752362309330212, 2895228933240974246, 360483540958241810902
2274, 796672687073099279, 2871873912208281452, 357611667046033529450
2275, 796593019804391970, 2848709577694826145, 354762957468338703305
2276, 796513360502411531, 2825734354348805547, 351937223113989897758
2277, 796433709166361290, 2802946679983842344, 349134276434006055414
2278, 796354065795444654, 2780345005467714201, 346353931428538341213
2279, 796274430388865110, 2757927794612034130, 343596003633926307083
2280, 796194802945826224, 2735693524062873472, 340860310109863433611
2281, 796115183465531642, 2713640683192319374, 338146669426671114237
2282, 796035571947185089, 2691767773990958662, 335454901652680155575
2283, 795955968389990371, 2670073310961280145, 332784828341718875430
2284, 795876372793151372, 2648555821011987380, 330136272520706888050
2285, 795796785155872057, 2627213843353214073, 327509058677353673977
2286, 795717205477356470, 2606045929392634303, 324903012747961039674
2287, 795637633756808735, 2585050642632459852, 322317962105328579822
2288, 795558069993433055, 2564226558567316973, 319753735546761262849
2289, 795478514186433712, 2543572264582995027, 317210163282178267822
2290, 795398966335015069, 2523086359856059451, 314687076922322208371
2291, 795319426438381568, 2502767455254321595, 312184309467067886776
2292, 795239894495737730, 2482614173238158036, 309701695293829728740
2293, 795160370506288157, 2462625147762672063, 307239070146067056677
2294, 795080854469237529, 2442799024180690022, 304796271121886366655
2295, 795001346383790606, 2423134459146585371, 302373136662739781284
2296, 794921846249152227, 2403630120520923267, 299969506542218858017
2297, 794842354064527312, 2384284687275918634, 297585221854942939383
2298, 794762869829120860, 2365096849401700674, 295220125005541238709
2299, 794683393542137948, 2346065307813376881, 292874059697727861828
2300, 794603925202783735, 2327188774258889683, 290546870923468972145
2301, 794524464810263457, 2308465971227658821, 288238404952241313324
2302, 794445012363782431, 2289895631860002772, 285948509320381310552
2303, 794365567862546053, 2271476499857332424, 283677032820523978128
2304, 794286131305759799, 2253207329393110405, 281423825491130867723
2305, 794206702692629224, 2235086885024569425, 279188738606106298298
2306, 794127282022359962, 2217113941605183128, 276971624664501115170
2307, 794047869294157727, 2199287284197882940, 274772337380303232230
2308, 793968464507228312, 2181605707989014500, 272590731672314217730
